,상호명,도로명주소,위도,경도
0,해룡마라룽샤2,서울특별시 중구 을지로41길 28,37.56700318,127.0066465
1,마라지존,서울특별시 강남구 봉은사로30길 73,37.50293858,127.0371055
2,마라홀릭엔씨,서울특별시 송파구 충민로 66,37.47760822,127.124941
3,룽푸청마라탕,서울특별시 구로구 디지털로33길 48,37.48724621,126.8944921
4,순풍훠궈,서울특별시 금천구 시흥대로 392,37.46844983,126.898296
5,셰프이수현마라탕,서울특별시 금천구 독산로 125,37.45846551,126.9050096
6,마라타임마라탕&마라샹궈,서울특별시 강동구 진황도로 100,37.53538554,127.1373691
7,신마라명가,서울특별시 강동구 상일로7길 12-10,37.55036681,127.1721555
8,신룽푸마라탕,서울특별시 용산구 청파로47가길 5,37.54467707,126.9669511
9,쑈준간촨촨향훠궈,서울특별시 영등포구 도림로41길 10,37.49490277,126.8980998
10,마라투즈,서울특별시 서초구 마방로 60,37.47716802,127.0437225
11,수해복마라탕,서울특별시 노원구 광운로 39,37.62106135,127.0588969
12,마라공방,서울특별시 종로구 우정국로 38-1,37.57247148,126.9832423
13,라향각마라탕강서점,서울특별시 강서구 화곡로68길 15,37.55944265,126.8553058
14,라향각마라탕,서울특별시 마포구 잔다리로 65,37.55343904,126.9171007
15,향리원마라탕,서울특별시 강서구 강서로 271,37.54994642,126.8360198
16,타오마라,서울특별시 마포구 양화로6길 19,37.54924153,126.9152828
17,패밀리마라탕,서울특별시 구로구 서해안로 2108,37.48059144,126.8239811
18,탕화쿵푸마라탕,서울특별시 중구 필동로 18,37.5598938,126.9959769
19,신마라명가,서울특별시 송파구 송이로32길 4-18,37.49017844,127.1274291
20,피슈마라홍탕,서울특별시 노원구 상계로1길 14-11,37.65690066,127.0617994
21,우정마라탕오목교역점,서울특별시 양천구 오목로 329-6,37.52517738,126.8741683
22,허씨정통중경마라쌍궈,서울특별시 광진구 아차산로30길 17,37.53991002,127.0675785
23,마라입구,서울특별시 노원구 석계로3길 21,37.61596198,127.063492
24,소림마라,서울특별시 송파구 백제고분로34길 19,37.50061489,127.098909
25,도란도란훠궈,서울특별시 금천구 시흥대로153길 75,37.47647763,126.8943794
26,탕화쿵푸마라탕,서울특별시 영등포구 도림로36길 3-6,37.49244361,126.8972086
27,마라청춘마라탕,서울특별시 서초구 반포대로28길 76,37.49172414,127.0124503
28,쏘핫마라탕마라샹궈,서울특별시 마포구 매봉산로2길 15,37.5785169,126.8949554
29,화라라마라탕,서울특별시 서대문구 이화여대길 88-16,37.55943353,126.9442462
30,소림마라,서울특별시 서대문구 모래내로 464,37.58566297,126.9462875
31,신장군마라탕,서울특별시 종로구 성균관로 26,37.58499009,126.9973043
32,"복원탄탄면,마라탕",서울특별시 중구 서소문로9길 28,37.56369793,126.9700276
33,라와마라탕,서울특별시 광진구 아차산로33길 51-4,37.54270051,127.0706557
34,소림마라,서울특별시 성북구 월곡로5길 19,37.59792756,127.0382722
35,아이마라,서울특별시 구로구 공원로8길 59,37.50424586,126.8922395
36,황비홍마라탕,서울특별시 동작구 상도로30길 40,37.50430965,126.9424555
37,라사천마라탕,서울특별시 영등포구 가마산로63길 1,37.50567156,126.9059944
38,라사천마라탕상도점,서울특별시 동작구 상도로 117,37.50135906,126.9329744
39,라화방마라탕,서울특별시 노원구 공릉로 208,37.62826542,127.0777595
40,소림마라,서울특별시 용산구 한강대로 69,37.52703445,126.9648751
41,탕화원마라탕,서울특별시 구로구 고척로 234,37.50604728,126.8590397
42,한성마라탕신당점,서울특별시 중구 퇴계로84길 20,37.56474709,127.0191617
43,왕홍마라,서울특별시 구로구 구로동로 210-1,37.49734375,126.882661
44,탕화쿵푸,서울특별시 용산구 청파로47길 78,37.54509378,126.9661758
45,반이학생마라탕마라반,서울특별시 서대문구 연세로7안길 2,37.55774178,126.9364605
46,마부마라탕,서울특별시 구로구 구로동로28길 117-4,37.49254796,126.8900715
47,춘리마라탕,서울특별시 마포구 만리재로 15,37.54457901,126.9527505
48,마라공방,서울특별시 성동구 아차산로17길 48,37.54638407,127.0658683
49,복만루훠궈,서울특별시 종로구 지봉로 93-2,37.5784721,127.0150871
50,마라의신,서울특별시 송파구 송파대로39길 1,37.50268077,127.1087352
51,쏘핫마라샹궈마라탕,서울특별시 종로구 삼일대로17길 47-1,37.56907106,126.9849299
52,하오마라,서울특별시 강남구 선릉로93길 30,37.50471498,127.0461536
53,피슈마라홍탕군자역점,서울특별시 광진구 능동로 302,37.5565831,127.0795265
54,일품마라탕,서울특별시 구로구 경인로 208,37.49589188,126.8441422
55,마라공방,서울특별시 중구 세종대로21길 55,37.56900236,126.9759315
56,소림마라,서울특별시 강남구 역삼로88길 11,37.50317968,127.0614643
57,마라홀릭가산,서울특별시 금천구 디지털로10길 69,37.47529108,126.8908355
58,소림마라,서울특별시 마포구 와우산로29길 4-26,37.55502157,126.929584
59,마라탕탕,서울특별시 은평구 연서로29길 20-13,37.6197874,126.9186538
60,다복향마라탕,서울특별시 서대문구 거북골로 17,37.58041078,126.9253939
61,탕화쿵푸마라탕,서울특별시 동대문구 장한로24길 20,37.57042708,127.071964
62,라쿵푸마라탕,서울특별시 금천구 시흥대로52길 42,37.45321265,126.902125
63,일원동마라탕,서울특별시 강남구 일원로9길 56,37.49055002,127.0860028
64,마라KIM마라탕,서울특별시 금천구 삼성산길 11,37.43409918,126.9048111
65,랑첸첸비꼬치훠궈,서울특별시 영등포구 도림로41길 10,37.49490277,126.8980998
66,일품마라탕,서울특별시 구로구 경인로47길 25,37.50049518,126.8663509
67,쑈라죠마라탕,서울특별시 금천구 금하로 757,37.45017605,126.9138217
68,마라식탁,서울특별시 구로구 개봉로17라길 23,37.49249473,126.8533656
69,소림마라,서울특별시 영등포구 63로 36,37.51941255,126.9385885
70,따제마라탕,서울특별시 서대문구 경기대로 42,37.56303472,126.962204
71,탕화쿵푸,서울특별시 용산구 한강대로 95,37.52880693,126.9666382
72,다복향마라탕,서울특별시 중구 남대문시장길 25-3,37.56039032,126.9771926
73,다현마라탕,서울특별시 금천구 가산디지털1로 131,37.47702751,126.8819573
74,신룽푸마라탕,서울특별시 관악구 신림로 356,37.48610138,126.9296635
75,마라천향미마라탕,서울특별시 강서구 화곡로 142,37.54055489,126.837569
76,서울마라화곡,서울특별시 강서구 화곡로 135,37.5409159,126.8367147
77,소림마라,서울특별시 은평구 서오릉로11길 24,37.61043815,126.9141228
78,해룡마라룽샤,서울특별시 광진구 동일로18길 36,37.53941041,127.0647898
79,라사천마라탕,서울특별시 강북구 도봉로77길 42,37.63419789,127.0211726
80,표표마라탕,서울특별시 관악구 남현2길 8,37.47597763,126.9769083
81,등초마라탕,서울특별시 강서구 공항대로 237,37.55944031,126.8338914
82,마라하오,서울특별시 관악구 관악로 236,37.48539412,126.9563588
83,쇼땅쟈마라탕,서울특별시 송파구 가락로 138,37.50219531,127.1112744
84,라사천마라탕가산디지털단지점,서울특별시 금천구 가산디지털2로 166,37.48266022,126.8782778
85,탕화쿵부마라탕,서울특별시 마포구 홍익로 15,37.55375413,126.9229813
86,진미훠궈,서울특별시 광진구 아차산로31길 9-1,37.54154586,127.069346
87,탕화쿵푸,서울특별시 종로구 창경궁로 258-15,37.58359464,127.0006291
88,설첨마라하우스,서울특별시 강서구 송정로 41,37.55853197,126.8105787
89,마라우육면,서울특별시 동대문구 이문로25길 31,37.59548063,127.057747
90,마라공방,서울특별시 동작구 노량진로16길 8,37.51321341,126.9436194
91,라장훠궈,서울특별시 서대문구 연세로 37,37.55886997,126.9366708
92,이얼싼마라탕,서울특별시 관악구 양녕로 46,37.48613342,126.9472687
93,피슈마라홍탕,서울특별시 서대문구 신촌로 73,37.55630046,126.9345003
94,마라889,서울특별시 중구 장충단로 249-28,37.56733514,127.0075477
95,충칭호모두훠궈,서울특별시 영등포구 대림로 186,37.49739891,126.8990922
96,마라,서울특별시 종로구 경희궁길 41-1,37.57300774,126.9692315
97,신천부마라탕,서울특별시 동작구 대림로 21-1,37.4869828,126.9107561
98,사랑마라탕,서울특별시 성북구 개운사길 21-3,37.5872997,127.0289091
99,칭따오양마라탕군,서울특별시 노원구 동일로242라길 1,37.6761149,127.0566829
100,마라영웅,서울특별시 구로구 구로동로42길 8,37.49614026,126.8830747
101,마쿠마라탕,서울특별시 성동구 마조로 7,37.55857851,127.0404306
102,탕화쿵푸마라탕,서울특별시 송파구 위례광장로 120,37.47497318,127.1416026
103,마라전문마부마라탕마라샹궈,서울특별시 강서구 화곡로20길 28,37.53918294,126.8364135
104,마라명장,서울특별시 강남구 도산대로30길 32,37.51788374,127.0300922
105,마라식객,서울특별시 중구 퇴계로42길 23,37.56071042,126.9966451
106,향리원마라탕,서울특별시 양천구 목동동로 385,37.53588723,126.8794837
107,강남마라,서울특별시 송파구 가락로16길 3-12,37.5011436,127.1092171
108,옛촌쟁반마라,서울특별시 금천구 독산로75길 32,37.46921091,126.9006814
109,마부마라탕,서울특별시 송파구 송파대로 167,37.4845513,127.1207441
110,천향마라탕,서울특별시 송파구 오금로18길 12,37.5098651,127.1103125
111,진화쿵푸마라탕,서울특별시 마포구 홍익로6길 44,37.55601572,126.9239674
112,판다마라,서울특별시 동대문구 천호대로16길 6,37.57358638,127.0311702
113,청기와마라탕,서울특별시 강서구 까치산로 98,37.54695246,126.8486277
114,소림마라양천점,서울특별시 양천구 중앙로 327,37.52514223,126.8499472
115,성연마라탕,서울특별시 서대문구 거북골로 19-1,37.58021031,126.9251477
116,마라공방회현점,서울특별시 중구 남대문시장길 73,37.56084695,126.979982
117,취향마라마라탕,서울특별시 노원구 중계로 202,37.65079157,127.077787
118,루이마라탕,서울특별시 강동구 구천면로98길 13,37.55018959,127.1712974
119,칠리향마라탕,서울특별시 노원구 한글비석로 264,37.65114831,127.0773179
120,신룽푸마라탕,서울특별시 영등포구 국제금융로6길 26,37.52194751,126.926957
121,하오마라,서울특별시 성동구 용답중앙15길 3,37.56404955,127.0529135
122,훠궈야,서울특별시 강남구 테헤란로 521,37.50918436,127.0607897
123,최선생마라탕,서울특별시 마포구 월드컵북로 396,37.57948681,126.8898124
124,춘리마라탕,서울특별시 노원구 공릉로 199,37.62726051,127.0783044
125,텐파마라탕마라샹꿔,서울특별시 용산구 한강대로38길 11-22,37.5299977,126.9698915
126,황비홍마라탕,서울특별시 관악구 호암로22길 52,37.46861133,126.9355767
127,마라왕,서울특별시 서대문구 거북골로 14,37.58081763,126.9255465
128,라홍방마라탕,서울특별시 강서구 공항대로 186,37.55908441,126.8279775
129,라홍방마라탕,서울특별시 노원구 한글비석로 264,37.65114831,127.0773179
130,신미방마라탕,서울특별시 중랑구 용마산로89길 3,37.58799201,127.0956373
131,피슈마라홍탕영등포,서울특별시 영등포구 당산로31길 14,37.52679995,126.8952323
132,마라본색,서울특별시 송파구 가락로16길 2-26,37.50071318,127.1071073
133,라사천마라탕,서울특별시 강서구 화곡로 296,37.55056948,126.8490247
134,마라마라,서울특별시 강서구 화곡로 324,37.55265841,126.8507242
135,신마라탕&마라샹궈,서울특별시 영등포구 도신로 119,37.50846452,126.9049923
136,마라해녀,서울특별시 강남구 테헤란로 101,37.49865626,127.0280225
137,소림마라,서울특별시 동대문구 황물로 90,37.57034333,127.0501057
138,신룽푸마라탕,서울특별시 성북구 고려대로24길 35,37.58465585,127.0295435
139,신마장훠궈,서울특별시 구로구 구로동로22길 5,37.48960554,126.8847551
140,동자매마라탕,서울특별시 송파구 가락로 106,37.50108848,127.1078832
141,하이마라탕충정로,서울특별시 서대문구 서소문로 27,37.56023677,126.9647442
142,춘리마라탕,서울특별시 노원구 상계로 65,37.65634541,127.0622257
143,라홍방마라탕강서,서울특별시 강서구 화곡로 342,37.55414601,126.8517425
144,탕화쿵푸,서울특별시 노원구 중계로 198,37.65090269,127.0781709
145,소백양마라탕,서울특별시 강서구 강서로12길 15,37.53170709,126.8477194
146,라와마라탕,서울특별시 동작구 신대방3길 61,37.48815,126.9083532
147,마라영웅,서울특별시 마포구 독막로9길 5,37.54868562,126.9195121
148,화룡점정마라탕,서울특별시 강서구 마곡서로 158,37.56807813,126.8254029
149,칠리향마라탕,서울특별시 강남구 삼성로 301,37.49909831,127.0603845
150,미순마라탕,서울특별시 강서구 마곡중앙로 59-11,37.55885922,126.8252647
151,황비홍마라탕,서울특별시 관악구 난곡로 317,37.48230237,126.9142387
152,화기린마라탕,서울특별시 관악구 난곡로 363,37.48632277,126.9134456
153,식신마라탕,서울특별시 강서구 마곡중앙5로1길 20,37.56865864,126.8266955
154,천향마라탕,서울특별시 구로구 구로동로15길 18,37.48790198,126.8837402
155,마라유혹,서울특별시 영등포구 디지털로 350,37.4887619,126.8995243
156,피슈마라홍탕,서울특별시 마포구 매봉산로 80,37.57851944,126.8942647
157,손오공마라탕,서울특별시 은평구 역말로9길 44,37.614902,126.9223944
158,니하오마라탕,서울특별시 송파구 위례성대로18길 27-10,37.5095378,127.125609
159,후통마라탕,서울특별시 은평구 연서로29길 20,37.61936955,126.918286
160,봉선마라탕,서울특별시 영등포구 도림로38길 11,37.49215168,126.8977896
161,마라식탁,서울특별시 구로구 구로동로25길 26,37.4906835,126.8825001
162,마라라마라탕&마라샹궈,서울특별시 영등포구 영신로 7,37.51220718,126.9092472
163,후후훠궈,서울특별시 서초구 식유촌길 69,37.4582256,127.0117042
164,니하오마라탕서대문역점,서울특별시 종로구 경교장1길 5,37.56789183,126.9653401
165,신마라명가강서점,서울특별시 강서구 화곡로 242,37.54645516,126.8456818
166,소림마라,서울특별시 관악구 쑥고개로 85,37.47948131,126.945994
167,만나네마라탕,서울특별시 금천구 독산로93길 12,37.47400442,126.9026123
168,탕화쿵푸마라탕,서울특별시 은평구 연서로29길 17,37.61914474,126.9183346
169,표표마라탕,서울특별시 관악구 남부순환로210길 8,37.48158731,126.9447093
170,착한마라탕,서울특별시 노원구 상계로9나길 6,37.66020498,127.0683088
171,신룽푸마라탕,서울특별시 영등포구 선유로 76,37.52064083,126.8898931
172,탕화쿵푸마라탕,서울특별시 성동구 성수일로10길 26,37.54646287,127.0531361
173,마라영웅,서울특별시 양천구 목동동로12길 22,37.52255023,126.8736308
174,마라하오,서울특별시 광진구 자양로26길 39,37.54141519,127.0860725
175,이화마라강동,서울특별시 강동구 고덕로 399,37.55739552,127.1696556
176,마부마라탕&마라샹궈,서울특별시 용산구 한강대로104길 60,37.55015761,126.9754764
177,마부마라탕엔샹궈,서울특별시 강서구 마곡중앙로 59-21,37.5587948,126.8242244
178,텐파마라탕마라샹꿔,서울특별시 강남구 압구정로79길 49,37.52556037,127.0511263
179,1989마라탕,서울특별시 노원구 노해로 455,37.65416227,127.0585019
180,마라의신,서울특별시 강남구 역삼로70길 10,37.50081031,127.0536111
181,신마라탕,서울특별시 동대문구 안암로 150,37.58809531,127.0347301
182,아룡마라탕,서울특별시 성북구 개운사길 22-6,37.58734188,127.0296559
183,마라에반하다,서울특별시 관악구 시흥대로160길 20,37.48118373,126.9014219
184,마라에반하다,서울특별시 광진구 긴고랑로15길 3,37.56228656,127.0829765
185,마라에꼬치다,서울특별시 동대문구 천호대로85길 31,37.56339271,127.0666067
186,소림마라,서울특별시 영등포구 영신로37길 13-2,37.52123532,126.8995
187,한성마라탕,서울특별시 관악구 중앙1길 12,37.48379087,126.9533735
188,168마라탕,서울특별시 동대문구 답십리로69길 55,37.57468553,127.0738131
189,중경마라탕,서울특별시 구로구 디지털로 219,37.48002484,126.8902229
190,신시대마라탕.쌀국수,서울특별시 영등포구 양평로 75,37.53537192,126.898455
191,취향마라마라탕이수역점,서울특별시 서초구 동작대로 108,37.48608259,126.9826051
192,사천마라탕,서울특별시 구로구 고척로27다길 6,37.50485395,126.8465715
193,신라방마라탕,서울특별시 동대문구 천호대로79길 66,37.56503363,127.0644582
194,황비홍마라탕,서울특별시 강서구 우장산로2길 46,37.55277681,126.837051
195,마라영웅,서울특별시 성동구 장터길 38-1,37.54807675,127.0201271
196,마라공방,서울특별시 서초구 반포대로28길 54,37.49126468,127.0113821
197,마라천향미마라탕,서울특별시 강서구 마곡중앙5로 87,37.56718184,126.8177536
198,취향마라,서울특별시 강서구 등촌로5길 2,37.53346189,126.863295
199,신마라명가마라탕&마라샹궈,서울특별시 서초구 서초대로54길 27,37.49302647,127.0162668
200,마라공간마라탕,서울특별시 관악구 과천대로 949,37.47533081,126.9813037
201,마라공방,서울특별시 마포구 양화로18길 12,37.55647206,126.9246059
202,신룽푸마라탕,서울특별시 동작구 보라매로5가길 16,37.49126776,126.9240827
203,라사천마라탕,서울특별시 성북구 장월로8길 64,37.61056524,127.051146
204,뚱이네마라탕,서울특별시 금천구 시흥대로149길 52,37.47515951,126.8950658
205,마라대국,서울특별시 광진구 능동로19길 35,37.54706186,127.071835
206,신장군마라탕,서울특별시 동대문구 경희대로 14,37.59276429,127.0527196
207,미미마라탕,서울특별시 성동구 왕십리로21길 30,37.56033611,127.0316701
208,마라공방,서울특별시 종로구 종로 19,37.57083882,126.9799024
209,신마라명가숙대,서울특별시 용산구 청파로47나길 7,37.54528852,126.9668068
210,마라영웅,서울특별시 영등포구 디지털로 359-1,37.48973062,126.9000189
211,라푸마라탕우육면,서울특별시 광진구 아차산로 475,37.54061529,127.0945238
212,마라품격,서울특별시 강남구 영동대로85길 30,37.50680796,127.0610909
213,알라딘마라탕,서울특별시 구로구 가마산로 280,37.49606688,126.8915461
214,마라하오,서울특별시 강북구 삼양로79길 35-35,37.62920567,127.0156982
215,소림마라,서울특별시 성동구 독서당로39길 43-1,37.5408727,127.0109198
216,피슈마라홍탕방,서울특별시 송파구 오금로13길 9,37.51343004,127.1086865
217,신룽푸마라탕,서울특별시 강남구 강남대로 438,37.50163375,127.0263214
218,라향각마라탕,서울특별시 중구 세종대로21길 67,37.5692977,126.9757011
219,홍리마라탕,서울특별시 강남구 학동로 343,37.5174289,127.0405958
220,탕화쿵푸마라탕,서울특별시 강동구 올림픽로70길 52,37.53907204,127.1264976
221,미친마라탕,서울특별시 관악구 남부순환로181길 42,37.48648919,126.9306983
222,훠궈나라,서울특별시 강남구 봉은사로2길 35,37.50242827,127.0265147
223,일구마라탕,서울특별시 성동구 왕십리로 222,37.55449264,127.0465947
224,마부마라탕,서울특별시 금천구 가산디지털1로 5,37.46673727,126.8867002
225,마부마라탕,서울특별시 강동구 천호대로158길 18,37.5366731,127.1262088
226,이대마라탕,서울특별시 서대문구 신촌역로 23,37.5587145,126.9424341
227,소림마라,서울특별시 광진구 아차산로33길 44,37.54221541,127.0708427
228,마라상하이,서울특별시 양천구 오목로48길 10,37.52498738,126.8628014
229,유미마라탕,서울특별시 강동구 천호옛길 90,37.53673432,127.1259591
230,마라하오,서울특별시 서대문구 연세로9길 10-7,37.55886539,126.9361616
231,소림마라,서울특별시 강북구 도봉로95길 33,37.64186976,127.0271114
232,마라테이블딜리버리,서울특별시 강남구 선릉로 660,37.51554164,127.0423168
233,마라차이즈,서울특별시 강남구 테헤란로64길 13,37.50417224,127.0514876
234,마라박사마라,서울특별시 영등포구 문래로 89,37.5196418,126.8919328
235,대길마라탕,서울특별시 송파구 마천로7가길 3-1,37.50870535,127.1275755
236,마부마라탕,서울특별시 마포구 백범로 152,37.54473719,126.9482444
237,라왕푸마라탕,서울특별시 은평구 통일로65길 17-1,37.60888728,126.9287898
238,조선마라탕,서울특별시 강서구 양천로24길 99,37.56880709,126.8153961
239,마유유마라탕,서울특별시 강남구 언주로98길 19,37.50496332,127.0434359
